title,date_added,release_year,rating,duration,listed_in,Service,ContentType,Thriller,Cooking & Food,Music,Mystery,Sports,Black Stories,Latino,Superhero,Survival,Fantasy,Movies,Medical,Variety,Police/Cop,Western,Series,Suspense,Special Interest,Entertainment,TV Shows,TV Mysteries,Independent Movies,Thrillers,TV Thrillers,TV Sci-Fi & Fantasy,Sports Movies,Animate,sitcom,international,history,romance,news,health,classic,reality,comedy,drama,crime,horror,Science,Under18,Docs,lifestyle,ArtAndMusic,GameShow
Basic Instinct,"October 1, 2020",1992,R,128 min,"Classic Movies, Thrillers",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bat Pat,"December 31, 2017",2016,TV-Y,1 Season,Kids' TV,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bates Motel,"February 20, 2018",2017,TV-MA,5 Seasons,"Crime TV Shows, TV Dramas, TV Horror",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Bathtubs Over Broadway,"May 9, 2019",2018,PG-13,87 min,"Documentaries, Music & Musicals",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Battle Creek,"December 31, 2015",2015,TV-14,1 Season,"Crime TV Shows, TV Comedies, TV Dramas",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Battlefield Recovery,"August 1, 2016",2016,TV-PG,1 Season,"British TV Shows, Docuseries, Reality TV",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Bawarchi,"December 31, 2019",1972,TV-PG,125 min,"Classic Movies, Comedies, Dramas",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Bazaar,"December 31, 2019",1982,TV-14,121 min,"Dramas, Independent Movies, International Movies",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Be Here Now,"February 28, 2017",2015,TV-MA,110 min,Documentaries,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Be Somebody,"November 20, 2019",2016,PG,88 min,"Comedies, Dramas, Romantic Movies",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
